Abel E Graziano,3.56E+15,
Shane F Simon,6.01E+15,
Johanna Cruickshank,3.09E+13,
Yvonne L Garcia,4.97E+15,
Man Wojcik,4.29E+15,
Edward J Downs,3.75E+14,
Robena Constantine,4.07E+15,
Virginia P Mcneil,3.66E+13,
Alvin B Lindley,4.85E+15,
Carrie F Wolf,3.76E+14,
Beula N Rodden,6.01E+15,
Clara S Mathews,3.73E+14,
Richelle A Rahman,5.32E+15,
Donald N Gallagher,4.37E+15,
Orlando Q Vanbuskirk,3.57E+15,
Roberto Barber,3.10E+13,
Garret V Mitchem,3.57E+15,
Dorothy W Chan,3.09E+13,
Maurice Chaves,5.49E+15,
Patrick Vega,3.53E+15,
Arnoldo Bourke,3.47E+14,
Daniel L Glover,3.59E+15,
Rosetta I Gean,3.02E+13,
Rita E Combs,5.22E+15,
Leif G Crain,3.68E+13,
Dale D Norris,5.28E+15,
Matt I Gottlieb,3.49E+14,
Eleanor A Hayes,6.48E+15,
Erick Gran,5.16E+15,
Rodney Q Hall,4.76E+15,
Edmond W Banton,3.01E+13,
April Q Briggs,5.37E+15,
Annelle M Lauria,4.65E+15,
Diana L Dale,3.02E+13,
Tawana J Bashaw,6.01E+15,
Bruce Guzman,3.73E+14,
Claudia Y Lansberry,3.58E+15,
Shirley U Glass,3.73E+14,
Thi J Gantt,3.45E+14,
Maurice Weaver,5.45E+15,
Blair J Goggans,3.50E+14,
Ricky K Holden,4.38E+15,
Frances Laura,6.44E+15,
Esther U Roach,3.56E+15,
Mitchell I Dahlgren,5.35E+15,
Jeanette A Hines,4.39E+15,
Pia Vella,5.15E+15,
Kenneth Q Guzman,5.43E+15,
Fred Murry,4.96E+15,
Johnny M Conner,5.48E+15,
Laurena C Coury,3.75E+14,
Derrick T Roy,3.76E+14,
Imogene Testa,6.01E+15,
Melvin D Dillard,5.40E+15,
Micki Hoekstra,6.01E+15,
Beatrice K Middleton,4.03E+15,
Eldon F Warfield,3.55E+15,
Roger F Pope,3.61E+13,
Alesia Kistner,3.78E+14,
Alex Ferrell,3.01E+13,
Bethann P Pou,3.58E+15,
Juanita K Levine,3.96E+13,
Audrie Zazueta,4.47E+15,
Audrey A Logan,3.48E+14,
Lenore M Campa,5.37E+15,
Marie P Hewitt,4.17E+15,
Arleen U Luce,4.04E+15,
Jennifer T Carr,3.78E+14,
Harmony Brassard,3.46E+14,
Benjamin Love,3.47E+14,
Krista Fenster,3.46E+14,
Brenda Suarez,3.04E+13,
Reynaldo J Wadsworth,6.01E+15,
Frank Lamb,3.68E+13,
Lance T Krehbiel,3.72E+14,
Gail Ward,3.58E+15,
Rubie Mulkey,5.14E+15,
Gary Y Kirk,3.53E+15,
Cliff Hebron,5.22E+15,
Debra T Mathews,3.71E+14,
Teisha Rountree,3.09E+13,
Tiffany Z Jones,6.58E+15,
Travis Loch,3.57E+15,
Juanita G Garrett,6.44E+15,
Teddy Abron,3.10E+13,
Zachary G Cooper,4.30E+15,
Shirlee M Kellar,3.49E+14,
Glenn Dodson,3.53E+15,
Rodolfo Curl,3.04E+13,
Ronnie Russell,3.54E+15,
Ricardo Noon,4.06E+15,
Keith Q Morris,5.50E+15,
Janene F Blansett,3.49E+14,
Judith C Blackburn,4.95E+15,
Kisha M Hebron,6.01E+15,
Maurice Drake,3.10E+13,
Tyron Y Rook,4.27E+15,
Robin Riley,3.62E+13,
Benton W Gooding,3.10E+13,
Norman Y Copeland,6.01E+15,
Antonio D Perham,6.01E+15,
Leo N Bartlett,3.03E+13,
Nicolette Klingbeil,3.05E+13,
Melanie Q Carpenter,3.56E+15,
Hui M Mikkelsen,6.50E+15,
Kathryn S Wilkerson,3.03E+13,
Jorge J Mccarroll,6.01E+15,
Ray Z Harper,5.46E+15,
Fernando K Oates,3.54E+15,
Brenda N Macias,3.76E+14,
Leo G Fernando,3.05E+13,
Harold E Lindsay,3.42E+14,
Yong Travers,4.30E+15,
William K Cortez,5.20E+15,
Reuben B Stephen,6.22E+15,
Jacob S Rich,4.64E+15,
Scarlet N Powell,3.00E+13,
Julie W Hardin,6.01E+15,
Esperanza G Curtin,6.01E+15,
Richard Hood,5.36E+15,
Charlie O Lowrey,5.21E+15,
Sam K Taylor,3.47E+14,
Sung Handel,3.53E+15,
Don X Kent,3.58E+15,
Shirlene W Locklin,3.05E+13,
Erica Q Velazquez,3.53E+15,
Earnestine Mcgrane,3.10E+13,
Shannon Owen,4.35E+15,
Charlsie L Harrington,5.13E+15,
Douglas K Green,4.76E+15,
Scarlett Mackey,3.48E+14,
Geraldine Burns,3.56E+15,
Pearl Cantor,3.94E+13,
Lucille Gomez,3.04E+13,
Douglass J Millsaps,5.30E+15,
Elsie W Puckett,5.39E+15,
Wilber X Portugal,5.35E+15,
Hazel Z Skinner,3.04E+13,
Stacy Blackford,3.54E+15,
Travis T Morgan,3.02E+13,
Caprice L Candelaria,3.04E+13,
Bill Schroeder,6.57E+15,
Dino Bardwell,4.70E+15,
Aaron V Mccarthy,3.54E+15,
Raquel G Layne,5.20E+15,
Sylvia F Bryant,3.54E+15,
Cody S Sawyer,5.19E+15,
June F Benson,6.22E+15,
Dalton V Mandell,3.09E+13,
Kristen Duke,3.56E+15,
Alfonzo V Armour,3.01E+13,
Bryan Byers,3.41E+14,
Corina K Weingarten,3.58E+15,
Vernon E Phillips,4.93E+15,
Sharda F Yim,3.79E+14,
Alan O Ballard,3.47E+14,
Eliseo B Clardy,3.77E+14,
Jerry C Odom,6.01E+15,
Granville O Tolley,3.49E+14,
Julia J Rasmussen,4.02E+15,
Hyman V Dials,6.01E+15,
Gladys X Lyons,3.55E+15,
Odette Liberatore,3.72E+14,
Joseph Q Klein,4.57E+15,
Quentin N Ice,4.07E+15,
Marjorie Baird,3.02E+13,
Ramon Riles,5.44E+15,
